,Unnamed: 0,id,created_at,text,source,tweet_type,source_tweet_id,retweeted_tweet_id,quoted_tweet_id,quote_count,retweet_count,favorite_count,hashtags,most_unrolled_urls,tweet_links,user_screen_name,user_id,user_mentions,user_followers_count,user_following_count,user_listed_count,user_created_at,user_favourites_count,user_verified,user_statuses_count,expanded_links,url_title,url_description,url_domain,clean_text
0,3,244907512124538880,2012-09-09 21:17:55,Obama maintains post-convention lead over Romney - http://t.co/XLdRbGPx via http://t.co/sjkJdXlc,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907512124538880,,,0,0,0,,http://goo.gl/news/1uV3|http://news.google.com,http://goo.gl/news/1uV3|http://news.google.com,100Royd,568596412,,10,77,0,Tue May 01 22:36:11 +0000 2012,0,False,443,https://news.google.com/topstories?hl=en-US&gl=US&ceid=US:en,google news,comprehensive up-to-date news coverage aggregated from sources all over the world by google news,news.google.com,obama maintains post convention lead romney via google news comprehensive update news coverage aggregated sources world google news
1,10,244907517363253248,2012-09-09 21:17:56,The Van Duzer Foundation is well-represented by Scott Van Duzer - Obama Gets a Lift on the Trail http://t.co/bhMlK4NC,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907517363253248,,,0,0,0,,http://nyti.ms/QxoFHD,http://nyti.ms/QxoFHD,wld1,33110127,,126,175,4,Sun Apr 19 03:08:24 +0000 2009,0,False,773,https://thecaucus.blogs.nytimes.com/2012/09/09/obama-gets-a-lift-on-the-trail/?smid=tw-share,obama gets a lift on the trail - the new york times,an republican obama supporter throws his muscle around with the president,thecaucus.blogs.nytimes.com,van user foundation well represented scott van user obama gets lift trail obama gets lift trail new york times republican obama supporter throws muscle around president
2,18,244907527693815808,2012-09-09 21:17:59,RT @sugarscape: Demi Lovato spat on Simon Cowell during X Factor USA audition. LOVELY. http://t.co/rX7LgDbk,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",retweet,244907173216407553,2.4490717321640755e+17,,0,8,0,,http://on.sugarsca.pe/TEkoDJ|http://on.sugarsca.pe/TEkoDJ,http://on.sugarsca.pe/TEkoDJ,morganfinniee,146159849,16510838,748,2001,3,Thu May 20 18:57:19 +0000 2010,0,False,13132,https://www.cosmopolitan.com/uk/,cosmopolitan uk the womens magazine for fashion beauty sex tips and celebrity news,,www.cosmopolitan.com,rt sugars cape demi lovato spat simon powell factor usa audition lovely cosmopolitan uk womens magazine fashion beauty sex tips celebrity news
3,27,244907538561257473,2012-09-09 21:18:02,RT @NewsCritter: RT@stiNgo100 Good read. Daily Kos: NEWS: Obama Has HUGE Jump in Rasmussen Poll: Bounce Trounces Job Numbers http://t.co ...,web,retweet,244876330980737024,2.4487633098073702e+17,,0,2,0,p2,http://t.co|http://www.dailykos.com/story/2012/09/09/1129570/-NEWS-Obama-Has-HUGE-Jump-in-Rasmussen-Poll-Bounce-Trounces-Job-Numbers,http://www.dailykos.com/story/2012/09/09/1129570/-NEWS-Obama-Has-HUGE-Jump-in-Rasmussen-Poll-Bounce-Trounces-Job-Numbers,Mscharizmaa,32293552,48327725|305614280,347,483,12,Fri Apr 17 03:49:11 +0000 2009,0,False,18521,https://www.dailykos.com/stories/2012/09/09/1129570/-NEWS-Obama-Has-HUGE-Jump-in-Rasmussen-Poll-Bounce-Trounces-Job-Numbers,news: obama has huge jump in rasmussen poll: bounce trounces job numbers,the media has to have a close race because otherwise they wouldnt have the storyline they need to keep readers interestedso when the democratic convention appeared to be having a major effect ,www.dailykos.com,rtnewscritterrtstingo100 good read dailykook news obama huge jump rasmussen poll bounce troubles job numbers news obama huge jump rasmussen poll bounce troubles job numbers media close race otherwise would storyline need keep readers interested democratic convention appeared major effect
4,47,244907566373666816,2012-09-09 21:18:08,RT @DLoesch: Obama One Year Ago: Americans Are Not Better Off: http://t.co/0v3qIXEP,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",retweet,244866784149245952,2.4486678414924595e+17,,0,39,0,,http://bit.ly/O5GfOW|http://bit.ly/O5GfOW,http://bit.ly/O5GfOW,hurrduhdurr,163061503,7702542,37,267,0,Mon Jul 05 13:01:24 +0000 2010,0,False,238,https://www.breitbart.com/politics/2012/09/08/Obama-One-Year-Ago-Americans-Not-Better-Off/,obama one year ago: americans are not better off,what a difference a year makes the president defiantly told the country before his dnc speech that we were,www.breitbart.com,red loch obama one year ago americans better obama one year ago americans better difference year makes president defiant told country dnc speech
5,48,244907568621834240,2012-09-09 21:18:09,RT @2016themovie: Dont quite earn $250000? Obamas got 7 brand new taxes for you http://t.co/Er8uX3nx,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",retweet,244861573007556608,2.448615730075566e+17,,0,46,0,,http://www.breitbart.com/Big-Government/2012/06/29/Seven-new-taxes|http://www.breitbart.com/Big-Government/2012/06/29/Seven-new-taxes,http://www.breitbart.com/Big-Government/2012/06/29/Seven-new-taxes,SeaEhmElle,82251155,519938604,51,111,2,Wed Oct 14 02:05:28 +0000 2009,0,False,7104,https://www.breitbart.com/politics/2012/06/29/Seven-new-taxes/,obamacare: seven new taxes on citizens earning less than $250000,while we were all debating the cost to our liberty due to the patient protection and affordable care act (obamacare) we were ignoring the cost to our ,www.breitbart.com,rt2016 movie quite earn250000obamasgot7 brand new taxes obama care seven new taxes citizens earning less two hundred and fifty thousand debating cost liberty due patient protection affordable care act obama care ignoring cost
6,73,244907622761897984,2012-09-09 21:18:22,Obama Blasts Romneys Medicare Plan in Appeal to Florida Seniors - ABC News (blog) http://t.co/YNZQg0iF,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",tweet,244907622761897984,,,0,0,0,,http://goo.gl/FAfmF,http://goo.gl/FAfmF,Florida_Guide,367594123,,857,978,2,Sun Sep 04 06:47:06 +0000 2011,0,False,15908,http://ictmax.org/~Florida_Guide/,sennens okage - florida_guide,,ictmax.org,obama blasts romney medical plan appeal florida seniors abcnews blog seinen page florida guide
7,77,244907628784939008,2012-09-09 21:18:23,State of the race: Advantage Obama - Jim VandeHei and Mike Allen - http://t.co/BIRhZDLM http://t.co/tPOgnrj6,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907628784939008,,,0,0,0,,http://POLITICO.com|http://www.politico.com/news/stories/0912/80949.html,http://POLITICO.com|http://www.politico.com/news/stories/0912/80949.html,PortiaABoulger,21398055,,1603,1898,67,Fri Feb 20 14:02:37 +0000 2009,0,False,49419,https://www.politico.com:443/|https://www.politico.com/story/2012/09/state-of-the-race-advantage-obama-080949,politics policy political news - politico state of the race: advantage obama - politico,nobody knows politics like politico he heads out of the conventions with a much clearer path to winning romney advisers say privately,www.politico.com:443,state race advantage obama jim vandehei mike allen politics policy political news politico state race advantage obama politico nobody knows politics like politico heads conventions much clearer path winning romney advisers say privately
8,98,244907659512389632,2012-09-09 21:18:30,RT @sugarscape: Demi Lovato spat on Simon Cowell during X Factor USA audition. LOVELY. http://t.co/rX7LgDbk,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",retweet,244907173216407553,2.4490717321640755e+17,,0,10,0,,http://on.sugarsca.pe/TEkoDJ|http://on.sugarsca.pe/TEkoDJ,http://on.sugarsca.pe/TEkoDJ,RadNiall,100143697,16510838,152,171,0,Tue Dec 29 05:23:25 +0000 2009,0,False,8023,https://www.cosmopolitan.com/uk/,cosmopolitan uk the womens magazine for fashion beauty sex tips and celebrity news,,www.cosmopolitan.com,rt sugars cape demi lovato spat simon powell factor usa audition lovely cosmopolitan uk womens magazine fashion beauty sex tips celebrity news
9,107,244907678294487040,2012-09-09 21:18:35,@lovelive__laugh Demi Lovato spat on Simon Cowell during X Factor USA audition. LOVELY. http://t.co/UA1mNVLB,web,reply,244907206326222848,,,0,0,0,,http://on.sugarsca.pe/TEkoDJ,http://on.sugarsca.pe/TEkoDJ,Mady_Loves1D,573152540,434575936,277,270,0,Mon May 07 00:41:58 +0000 2012,0,False,6201,https://www.cosmopolitan.com/uk/,cosmopolitan uk the womens magazine for fashion beauty sex tips and celebrity news,,www.cosmopolitan.com,love live laugh demi lovato spat simon powell factor usa audition lovely cosmopolitan uk womens magazine fashion beauty sex tips celebrity news
10,142,244907729838292992,2012-09-09 21:18:47,RT @Chris_1791: Remember this gem - Michelle Obama: First Time proud of USA  http://t.co/zyp5yYUf #DNC2012 More proof Obama should never ...,web,retweet,244906409798537217,2.449064097985372e+17,,0,1,0,DNC2012,http://goo.gl/LxUbi|http://goo.gl/LxUbi,http://goo.gl/LxUbi,georgecarl1955,28201964,312149882,53,97,1,Wed Apr 01 21:33:52 +0000 2009,0,False,2908,https://www.youtube.com/watch?v=LYY73RO_egw,michelle obama: first time  proud of usa - youtube,what we have learned over this year is that hope is making a comeback it is making a comeback and let me tell you something -- for the first time in my adu,www.youtube.com,chris1791 remember gem michelle obama first time proud usadnc2012 proof obama never michelle obama first time proud usa youtube learned year hope making comeback making comeback let tell something first time add
11,144,244907734028410880,2012-09-09 21:18:48,State of the race: Advantage Obama - Jim VandeHei and Mike Allen - http://t.co/SGht75dt http://t.co/A8pDGXYd #Arithmetic,"<a href=""http://bitly.com"" rel=""nofollow"">bitly</a>",tweet,244907734028410880,,,0,0,0,Arithmetic,http://POLITICO.com|http://politi.co/QxshcL,http://POLITICO.com|http://politi.co/QxshcL,JohnB2,15580236,,235,112,9,Thu Jul 24 11:22:17 +0000 2008,0,False,5087,https://www.politico.com:443/,politics policy political news - politico,nobody knows politics like politico,www.politico.com:443,state race advantage obama jim vandehei mike allen arithmetic politics policy political news politico nobody knows politics like politico
12,147,244907736603697152,2012-09-09 21:18:49,RT @EMILIOTHEWAY: @BarackObama - Last year President Bartlett and I went to VT. Mr. President you can do it too http://t.co/clEKA9xk  ...,web,retweet,244667501575798785,2.446675015757988e+17,,0,182,0,Obama2VT,http://youtube.com/watch?v=w8DNR-rWKyE|http://youtube.com/watch?v=w8DNR-rWKyE,http://youtube.com/watch?v=w8DNR-rWKyE,Airr_N,338097832,261445178|813286,226,106,1,Tue Jul 19 02:34:35 +0000 2011,0,False,5172,https://www.youtube.com/watch?v=w8DNR-rWKyE,john boyer & his world regions class at virginia tech request president barack obama to visit - youtube,professor john boyer and his 3000 person world regions class at virginia tech request president barack obama to come to his class and discuss american foreig,www.youtube.com,rt emily way barack obama last year president barrett went vt mr president john boxer world regions class virginia tech request president barack obama visit youtube professor john boxer three thousand person world regions class virginia tech request president barack obama come class discuss american big
13,154,244907747160760321,2012-09-09 21:18:51,RT @Hanson8046: @dleadbeater2011: Make ur heart skip  beat in The Bones of Odin UK - http://t.co/PCOpbbkD .... USA - http://t.co/Kk12 ...,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",retweet,244904282208481281,2.4490428220848128e+17,,0,1,0,,http://tinyurl.com/777pedb|http://t.co/Kk12|http://tinyurl.com/777pedb|http://tinyurl.com/84tgzgp,http://tinyurl.com/777pedb|http://t.co/Kk12|http://tinyurl.com/84tgzgp,dleadbeater2011,434768070,513225175|434768070|29246025,7930,7747,263,Mon Dec 12 08:50:11 +0000 2011,0,False,24342,https://www.amazon.co.uk/Bones-Odin-Matt-Drake-Book-ebook/dp/B006AVJGU8,the bones of odin (matt drake book 1) ebook: leadbeater david: amazoncouk: kindle store,,www.amazon.co.uk,rt hanson 8046dleadbeater2011mak eur heart skip beat bones odin uk usa bones odinmattdrakebook1e book leadbeater david amazon co uk kindly store
14,159,244907755209637888,2012-09-09 21:18:53,RT @sugarscape: Demi Lovato spat on Simon Cowell during X Factor USA audition. LOVELY. http://t.co/rX7LgDbk,web,retweet,244907173216407553,2.4490717321640755e+17,,0,11,0,,http://on.sugarsca.pe/TEkoDJ|http://on.sugarsca.pe/TEkoDJ,http://on.sugarsca.pe/TEkoDJ,1D_for_ever_,591971804,16510838,1142,1772,1,Sun May 27 16:58:45 +0000 2012,0,False,13047,https://www.cosmopolitan.com/uk/,cosmopolitan uk the womens magazine for fashion beauty sex tips and celebrity news,,www.cosmopolitan.com,rt sugars cape demi lovato spat simon powell factor usa audition lovely cosmopolitan uk womens magazine fashion beauty sex tips celebrity news
15,175,244907777359749121,2012-09-09 21:18:58,just another reason why I love my President mitt would neva Pizza Shop Owner Gives President A Big Hug http://t.co/rxBAUWJC via @buzzfeed,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907777359749121,,,0,0,0,,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,GoInGoOffGoHard,112045923,5695632,354,395,10,Sun Feb 07 02:45:34 +0000 2010,0,False,31985,https://www.buzzfeednews.com/article/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,pizza shop owner gives president a big hug,scott van duzer owner of the big apple pizza showed his affection for the president today in florida,www.buzzfeednews.com,another reason love president mitt would nova pizza shop owner gives president big hug via buzz feed pizza shop owner gives president big hug scott van user owner big apple pizza showed affection president today florida
16,182,244907783445696512,2012-09-09 21:19:00,Obama Grilled About Kill List By Local Reporter: http://t.co/T7lYQMfM via @youtube,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907783445696512,,,0,0,0,,http://youtu.be/P4j_G0nmbWE,http://youtu.be/P4j_G0nmbWE,Bruce_Shepard,763445918,10228272,199,1233,0,Fri Aug 17 10:22:19 +0000 2012,0,False,202,https://www.youtube.com/watch?v=P4j_G0nmbWE&feature=youtu.be,obama grilled about kill list by local reporter - youtube,a local ohio reporter grilled president obama forcefully about his controversial so-called kill list on tuesday obama has been making an aggressive effor,www.youtube.com,obama grilled kill list local reporter via youtube obama grilled kill list local reporter youtube local ohio reporter grilled president obama forcefully controversial called kill list tuesday obama making aggressive ef
17,188,244907786755002368,2012-09-09 21:19:01,RT @theonlyadult: Chief of Cherokee Nation Calls Obama the Best President EVER for American Indians http://t.co/kclJp3Tz via @dailykos,web,retweet,244888986810736640,2.4488898681073664e+17,,0,17,0,,http://www.dailykos.com/story/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians|http://www.dailykos.com/story/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians,http://www.dailykos.com/story/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians,69Matts20cents,481559427,232851192|20818801,56,80,1,Thu Feb 02 22:31:12 +0000 2012,0,False,3683,https://www.dailykos.com/stories/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians,chief of cherokee nation calls obama the best president ever for american indians,for too long in this country native americans the indigenous people of this land not only had their land and culture stolen but had to endure poverty as well as discrimination racism neglect ,www.dailykos.com,rt adult chief cherokee nation calls obama best president ever american indians via dailykook chief cherokee nation calls obama best president ever american indians long country native americans indigenous people land land culture stolen endure poverty well discrimination racism neglect
18,207,244907810717040640,2012-09-09 21:19:06,RT @portalJORNALE: Ex-padre usa casa de suingue para fazer campanha.  Roque Rauber  candidato a vereador em Porto Alegre. http://t.co/L ...,web,retweet,244907567430656000,2.44907567430656e+17,,0,1,0,,http://t.co/L|http://bit.ly/P6kpO6,http://t.co/L|http://bit.ly/P6kpO6,AdrianeWerner,55934245,58538112,2443,1667,76,Sat Jul 11 21:25:23 +0000 2009,0,False,34747,https://www.luxmea.co/,home  luxmea,,www.luxmea.co,rt portal journal sex padre usa casa de suing ueparafazercampanharoque rather candidato ave read ore porto alert home lux
19,233,244907839125086208,2012-09-09 21:19:13,RT @dennygirltwo: GO VIRAL http://t.co/4ypHY64v #Obama Un-narrated Documentary( his own words) #Seniors #NFL #AFL #2016 #CO #OH #Ohio # ...,web,retweet,244830823214350336,2.4483082321435037e+17,,0,18,0,Obama|Seniors|NFL|AFL|CO|OH|Ohio|VA|FL|Communism|WI,http://youtu.be/nWVL7TptQ24?a|http://youtu.be/nWVL7TptQ24?a,http://youtu.be/nWVL7TptQ24?a,DonCKissick,24528410,194615561,241,230,18,Sun Mar 15 14:17:05 +0000 2009,0,False,4258,https://www.youtube.com/watch?v=nWVL7TptQ24&feature=youtu.be&a,obama un-narrated documentary/review (in his own words) - youtube,from snorkeldogg http://wwwyoutubecom/user/snorkeldogg/videos wordsmatter2012 is another source used for this video wordsmatter2012 was launched this past,www.youtube.com,rt deny girl two go viral obama un narrated documentary words seniors nfl afl2016coohohioobamaun narrated documentary review words youtube snooker dogg words matter two thousand and twelve another source used video words matter two thousand and twelve launched past
20,245,244907852525875200,2012-09-09 21:19:16,RT @BuzzFeed: SO GOOD RT @BuzzFeedAndrew: This is amazing. Pizza shop owner gives president a big hug. http://t.co/knxK5zcG,web,retweet,244880434423541760,2.4488043442354176e+17,,0,56,0,,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big|http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,KateWoodsWalker,21933115,5695632|326255267,25,121,0,Wed Feb 25 23:02:36 +0000 2009,0,False,464,https://www.buzzfeednews.com/article/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,pizza shop owner gives president a big hug,scott van duzer owner of the big apple pizza showed his affection for the president today in florida,www.buzzfeednews.com,rt buzz feed good rt buzz feed andrew amazing pizza shop owner gives president big hug pizza shop owner gives president big hug scott van user owner big apple pizza showed affection president today florida
21,270,244907898520629248,2012-09-09 21:19:27,Florida pizza shop owner powerlifts Obama  The Ticket - Yahoo News http://t.co/HpwRiRyF via @YahooNews,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907898520629248,,,0,0,0,,http://news.yahoo.com/blogs/ticket/florida-pizza-shop-owner-powerlifts-obama-195921467--election.html,http://news.yahoo.com/blogs/ticket/florida-pizza-shop-owner-powerlifts-obama-195921467--election.html,xXRaleighGuyXx,151452073,7309052,11,45,0,Thu Jun 03 12:54:13 +0000 2010,0,False,158,https://news.yahoo.com/blogs/ticket/florida-pizza-shop-owner-powerlifts-obama-195921467--election.html,florida pizza shop owner powerlifts obama,florida pizza shop owner scott van duzer lifted president barack obama a solid foot off the ground in a bear hug during an unscripted stop at his fort pierce fla store literally so what did the secret service think about van duzer  a registered republican who says hell vote for obama in november  [],news.yahoo.com,florida pizza shop owner power lifts obama ticket yahoo news via yahoo news florida pizza shop owner power lifts obama florida pizza shop owner scott van user lifted president barack obama solid foot ground bear hug scripted stop fort pierce fla store literally secret service think van user registered republican say shell vote obama november
22,272,244907902031241216,2012-09-09 21:19:28,Americas refusal to extradite Bolivias ex-president to face genocide charges http://t.co/AWZ1dcki by @ggreenwald,web,tweet,244907902031241216,,,0,0,0,,http://bit.ly/Pfoy3W,http://bit.ly/Pfoy3W,kgosztola,15808218,16076032,10019,1026,541,Mon Aug 11 13:49:38 +0000 2008,0,False,17244,https://www.theguardian.com/commentisfree/2012/sep/09/america-refusal-extradite-bolivia,americas refusal to extradite bolivias ex-president to face genocide charges  bolivia  the guardian,glenn greenwald: obama justice officials have all but granted asylum to snchez de lozada  a puppet who payrolled key democratic advisers,www.theguardian.com,americas refusal extradited bolivia sex president face genocide charges g greenwald americas refusal extradited bolivia sex president face genocide charges bolivia guardian glenn greenwald obama justice officials granted asylum sn chez de load puppet pay rolled key democratic advisers
23,282,244907915557875712,2012-09-09 21:19:31,Disappointed  President Obama http://t.co/ry076glm via @youtube,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907915557875712,,,0,0,0,,http://www.youtube.com/watch?v=1uQXlo44cps&sns=tw,http://www.youtube.com/watch?v=1uQXlo44cps&sns=tw,8I_notweak,812006292,10228272,0,0,0,Sun Sep 09 00:54:22 +0000 2012,0,False,2,https://www.youtube.com/watch?v=1uQXlo44cps&sns=tw,disappointed  president obama - youtube,after 4 years many of president obamas once-fervent supporters are disappointed with the lack of progress is this the new direction that so many hoped f,www.youtube.com,disappointed president obama via youtube disappointed president obama youtube four years many president obama fervent supporters disappointed lack progress new direction many hoped f
24,286,244907917948641280,2012-09-09 21:19:32,Pizza Shop Owner Gives President A Big Hug http://t.co/cq3HTx7D via @buzzfeed,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907917948641280,,,0,0,0,,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,KatNohio,29055725,5695632,17,39,0,Sun Apr 05 20:22:34 +0000 2009,0,False,219,https://www.buzzfeednews.com/article/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,pizza shop owner gives president a big hug,scott van duzer owner of the big apple pizza showed his affection for the president today in florida,www.buzzfeednews.com,pizza shop owner gives president big hug via buzz feed pizza shop owner gives president big hug scott van user owner big apple pizza showed affection president today florida
